Crime, Location, Date
ASSIST CITIZEN , Fitzhugh Dorm,04-17-11

ASSIST CITIZEN  , Ruffner Hall,04-17-11

DUI , 900 Emmet Street,04-17-11

MOTOR VEHICLE THEFT , Faulkner Dorm Pavilion,04-17-11

MOTOR VEHICLE THEFT, Faulkner Dorm Pavilion,04-17-11

MOTOR VEHICLE THEFT, Faulkner Dorm Pavilion,04-17-11

PROPERTY LOST , Runk Dining Hall,04-15-11

VANDALISM , Heating Plant coal facility,04-18-11

LARCENY , Hospital West Complex,04-18-11

LARCENY , Aquatic Fitness Center,04-18-11

LARCENY , Aquatic Fitness Center,04-18-11

SIMPLE ASSAULT , Primary Care Center,04-19-11

ASSAULT / INTIMIDATION , McCormick Road Construction Site,04-19-11

SUSPICIOUS CIRCUMSTANCES , 918 Emmet Street,04-19-11

FAMILY OFFENSE-NON VIOLENT , Primary Care Center,04-19-11

LARCENY , Lambeth Field Parking Lot,04-19-11

ACCIDENT , McCormick Road,04-20-11

ASSIST CITIZEN  , Davenport Field,04-20-11

PROPERTY LOST , Alderman Library,04-20-11

LARCENY , Norris Dorm,04-21-11

LARCENY , Aquatic Fitness Center, 4-20-11

TRESPASS , Tucker House,04-21-11

HIT AND RUN , 1210 Lee Street,04-21-11

TRESPASS , Clemons Library,04-21-11

VANDALISM , Darden Business School,04-22-11

SUSPICIOUS CIRCUMSTANCES , Primary Care Annex,04-23-11

LARCENY , UVA Hospital,04-23-11

TRESPASS , Hereford Drive,04-23-11

HIT &amp; RUN , 300 Massie Road,04-24-11

FIRE , Mimosa Court,04-24-11

UNLAWFUL ENTRY, Gwathmey House,04-25-11

BREAKING &amp; ENTERING , Wilsdorf Hall,04-25-11

D.I.P. , W. Main Street,04-25-11

LARCENY , Wilsdorf Hall,04-26-11

SUSPICIOUS CIRCUMSTANCES , Madison House,04-27-11

LARCENY , Private Clinics Wing,04-27-11

TRAFFIC ACCIDENT , McCormick Road,04-27-11

FOUND PROPERTY , Peabody Hall,04-27-11

TRAFFIC ACCIDENT , Whitehead Road,04-27-11

LARCENY , UVA Hospital,04-27-11

BURGLARY , 1540 Jefferson Park Avenue,04-27-11

SUSPICIOUS CIRCUMSTANCES , A10 Parking Lot,04-27-11

SUSPICIOUS CIRCUMSTANCES , McCue Center,04-28-11

BREAKING AND ENTERING , 1215 Lee Street,04-28-11

BREAKING AND ENTERING , UVA Hospital,04-28-11

LOST PROPERTY , Tuttle Dorm,04-28-11

USE OF FORCE , UVA ER,04-28-11

LARCENY , Carrs Hill Field,04-28-11

ASSIST-MEDICAL , 382 McCormick Rd,04-29-11

DRUG VIOLATIONS , Carruthers Hall,04-28-11

LARCENY THEFT FROM BUILDING, Clemons Library,04-29-11

VANDALISM, West Complex,04-29-11

ASSIST CITIZEN MEDICAL , Newcomb Hall Dining Room,04-29-11

LOST PROPERTY , McCormick Road,04-29-11

PROPERTY DAMAGE , Emmet Street South,04-29-11

LARCENY , McCormick Road,04-29-11

ASSIST AGENCY WARRANT SERVICE , 14th Street N.W.,04-29-11

ASSIST CITIZEN MEDICAL , Beta Bridge,04-29-11

LARCENY THEFT FROM BUILDING , BICE House,04-29-11

VANDALISM , Lambeth Apartments,04-30-11

FIRES NOT ARSON , 505 Edgemont Road,04-30-11

ASSIST CITIZEN MEDICAL , Venable House,04-30-11

PROPERTY-FOUND , Campbell Hall,04-30-11

VANDALISM , Ribble House,04-30-11

DRUNK IN PUBLIC , Fox Field,04-30-11

DRUNK IN PUBLIC , Fox Field,04-30-11

TRAFFIC ACCIDENT , Alderman Road,05-01-11

DISORDERLY CONDUCT , O-Hill Dining Facility,05-02-11

ACCIDENT, Colonnade Alley,05-02-11

B&amp;E , 1215 Lee Street Expansion Building,05-02-11

HIT AND RUN , E-1 Parking Lot            NO PI,05-02-11

LARCENY , Nameless Field,04-02-11

ANNOYING PHONE CALLS , UVA Hospital Vivarium,05-03-11

TRAFFIC ACCIDENT , Roosevelt Brown Blvd,05-03-11

DIP, 13th St. &amp; Wertland Ave,05-04-11

LARCENY, Aquatics Fitness Center,05-04-11

LOST PROPERTY , Faulkner Dorm,05-04-11

SUSPICIOUS CIRCUMSTANCE, Brown College,05-04-11

LARCENY , Fitzhugh Dorm,05-04-11

ASSIST AGENCY WARRANT SERVICE, UVA Hospital ER,05-05-11

ASSAULT BY INTIMIDATION , Peabody Hall,05-05-11

SIMPLE ASSAULT , Lee Street,05-05-11

FOUND PROPERTY, Lefevre Dorm Sidewalk,05-05-11

THEFT FROM MOTOR VEHICLE , Aquatic Fitness Center,05-05-11

LOST PROPERTY , Nau Hall,05-05-11

SUSPICIOUS PERSON , Robertson Hall,05-05-11

TRESPASS , 450 Whitehead Road,05-05-11

DIP , 1215 Lee Street UVA ER Department,05-05-11

Suspicious Circumstances , East Lawn,05-06-11

TRAFFIC ACCIDENT , 600 Massie Road,05-06-11

DAMAGED PROPERTY , The Miller Center,05-06-11

TRAFFIC ACCIDENT , 1220 Lee Street,05-06-11

SUSPICIOUS CIRCUMSTANCES ,New Cabell Hall,05-06-11

BURGLARY , Astronomy Building Library,05-06-11

LARCENY , UVA Hospital,05-06-11

ASSIST CITIZEN MEDICAL ,Pavilion 4,05-06-11

LARCENY , Faculty Lounge,05-07-11

MEDICAL ASSIST , 1427 University Avenue,05-08-11

MEDICAL ASSIST, Cauthen House,05-08-11

ACCIDENT , Hancock Drive,05-09-11

MEDICAL ASSIST, Aquatics Fitness Center,05-09-11

HIT AND RUN , 295 Massie Rd,05-09-11

MEDICAL ASSIST , 208 Dabney Dorm,05-10-11

FOUND PROPERTY, UVA ER Hospital,05-10-11

LARCENY FROM BUILDING , Alderman Library,05-10-11

DRUG VIOLATION , Brooks Hall,05-10-11

ASSIST AGENCY , 1400 University Ave.,05-10-11

TRESPASS , 1400 University Ave,05-10-11

DIP , West Main St. and 13th ST NW,05-10-11

TRESPASS, UVA Hospital ER,05-11-11

VANDALISM , Kellogg House,05-11-11

ASSIST CITIZEN-MEDICAL , 242 Dunglison House,05-11-11

SUSPICIOUS CIRCUMSTANCE , The Rotunda South Side,05-11-11

Vandalism , Brown College,05-11-11

DUI , 1070 Seminole Trail,05-12-11

VANDALISM , 1015 Massie Road   The Park,05-12-11

LOST PROPERTY , Wilsdorf Hall Cafe,05-12-11

ASSIST CITIZEN MEDICAL , Stadium Rd / Mimosa Dr.,05-12-11

ASSIST CITIZEN , 1600 University Avenue,05-13-11

TRESPASSING , Mary Munford Dorm,05-13-11

VANDALISM , Culbreth Theater South Parking Lot,05-13-11

SUSPICIOUS CIRCUMSTANCES , HSC East Garage,05-13-11

PROPERTY DAMAGE , Spanish House,05-14-11

DIP , 479 Copeley Road,05-14-11

FOUND PROPERTY , Hereford College,05-14-11

FOUND PROPERTY , UVA Police Department,08-14-11

WEAPONS LAW VIOLATION , 1215 Lee Street,05-15-11

ASSIST AGENCY OTHER ,UVA Emergency Room,05-15-11

TRESPASSING,University Avenue,05-15-11

LARCENY , UVA Hospital 6 Central,05-15-11

FOUND PROPERTY , Clemons Library,08-15-11

SUSPICIOUS CIRCUMSTANCES,McCormick Road Residence,05-16-11

HIT AND RUN,Copeley Housing Parking Lot,05-16-11

PROPERTY DAMAGE ,Lambeth Field Parking Lot,05-16-11

FOUND PROPERTY ,Culbreth Theatres,05-16-11

ASSIST AGENCY ,1215 Lee Street,05-16-11

DRUNK IN PUBLIC , 100 14th Street NW,05-17-11

WEAPONS LAW VIOLATION , 1215 Lee Street,05-17-11

PROPERTY DAMAGE , Jordan Hall 2nd Floor,05-17-11

B&amp; E , South Garage Storage Cage,05-18-11

Larceny ,Rugby and Culbreth,05-18-11

TRAFFIC ACCIDENT ,Cage Parking Lot,05-18-11

SUSPICIOUS CIRCUMSTANCES,McKim Hall,05-18-11

LARCENY, 1221 Lee Street,05-18-11

SUSPICIOUS CIRCUMSTANCES,Medical Center,05-18-11

SUSPICIOUS CIRCUMSTANCES ," East Garage, Level E",05-19-11

BREAKING AND ENTERING , Rogers Dorm,05-19-11

TRAFFIC ACCIDENT , 11th Street Garage,05-20-11

SIMPLE ASSAULT , UVA Hospital,05-20-11

LARCENY , Poe Alley Parking Lot,05-21-11

ASSIST AGENCY , UVA Hospital Emergency Dept,05-21-11

TRESPASS , Scott Stadium,05-22-11

LOST PROPERTY , The Lawn,05-22-11

TRESPASS , 400 S. Emmet Street   UVA Bookstore,05-22-11

FOUND PROPERTY , 2304 Ivy Road,05-22-11

ASSIST CITIZEN , JPA / Lane Road,05-22-11

DUI , 307 Ridge Street,05-23-11

TRAFFIC ACCIDENT , 1210 Lee Street,05-23-11

TRAFFIC ACCIDENT , 800 Alderman Road,05-23-11

TRESPASSING , Claude Moore Health Science Library,05-24-11

FOUND PROPERTY , The Lawn,05-24-11

NARCOTICS VIOLATION , UVA Hospital ER,05-24-11

LARCENY , East Lawn,05-24-11

HIT &amp; RUN , 11th Street Parking Garage,-23-2011

LARCENY , Lambeth Commons,05-25-11

LOST PROPERTY ,UVA Hospital,05-25-11

PROPERTY DAMAGE , Brandon Avenue,05-26-11

DUI , 1511 University Ave,05-27-11

DUI , 14 St. NW &amp; University Ave,05-28-11

SIMPLE ASSAULT , PICU UVA Hospital,05-28-11

TRESPASS , UVA Hospital,05-28-11

DIP, 1400 Westland Street,05-29-11

DUI , 1200 West Main Street,05-29-11

TRESPASSING , 160 McCormick Rd.,05-29-11

ANNOYING PHONE CALLS , 1222 Jefferson Park Avenue,05-30-11

WARRANT SERVICE , Culbreth Garage,05-31-11

LARCENY , Lambeth Field,05-31-11

LARCENY, 409 Lane Rd.,06-01-11

ASSIST CITIZEN , University Ave,06-01-11

LEAVING SCENE OF ACCIDENT,Carrs Hill,06-02-11

TRAFFIC ACCIDENT , McCormick Road,06-02-11

PROPERTY DAMAGE ,Massie Road,06-02-11

TRESSPASSING ,Clark Park,06-02-11

LARCENY,UVA Hospital,06-03-11

FAMILY OFFENSES-NON VIOLENT , 323 Peyton Cir.,06-03-11

ASSIST AGENCY , 1215 Lee Street,06-04-11

DRUNK IN PUBLIC , 100 Block McCormick Road,06-04-11

HIT &amp; RUN , 1955 Ivy Road,06-04-11

FOUND PROPERTY , Peabody Hall,06-04-11

DUI , 2117 Ivy Rd,06-05-11

BREAKING AND ENTERING , Primary Care Annex,06-06-11

ACCIDENT , Gooch Fire Lane,06-06-11

FOUND PROPERTY , UVA Hospital,06-06-11

SIMPLE ASSAULT , Davenport Field,06-05-11

ASSIST CITIZEN-MEDICAL , 400 S Emmet Street,06-05-11

HIT &amp; RUN , 1210 Lee Street,06-06-11

LOST PROPERTY , ER Waiting Room,06-06-11

SUSPICIOUS CIRCUMSTANCES , UVA PD Services Lobby,06-06-11

LIQUOR LAW VIOLATION , Elliewood Ave.,06-07-11

ASSAULT - INTIMIDATION , UVA Medical Center,06-07-11

GAS LEAK , Pratt Drive,06-07-11

ASSIST AGENCY , UVA Emergency Room,06-08-11

FORGERY , Massie Rd,06-08-11

PROPERTY DAMAGE , The Park Parking Lot,06-08-11

BURGLARY , 1215 Lee St,06-08-11

ASSIST AGENCY , Ray C. Hunt Drive,06-09-11

SUSPICIOUS CIRCUMSTANCES , Whitehead Road,06-09-11

ASSIST CITIZEN MEDICAL , 1321 Lee St.,06-10-11

VANDALISM , UVA Hospital East Parking Garage,06-10-11

BURGLARY , Lambeth Field Dorms,06-10-11

LARCENY , Monroe Hall,06-10-11

SUSPICIOUS INCIDENT , 2304 Ivy Rd,06-10-11

PROPERTY FOUND , Minor Hall,06-10-11

ASSAULT , UVA Hospital,06-11-11

ASSIST AGENCY , UVA Emergency Room,06-11-11

WATER LEAK , 385 McCormick Rd,06-12-11

VEHICLE ACCIDENT, 600 Massie Rd,06-12-11

ASSIST AGENCY , 1215 Lee St,06-12-11

THEFT FROM BUILDING , Medical Center,06-13-11

THEFT FROM BUILDING , Medical Center,06-13-11

HIT &amp; RUN ,East Garage       NO PI,06-13-11

DUI , Jefferson Park Ave/Stadium Rd,06-14-11

ASSIST AGENCY , UVA ER,06-14-11

ASSIST AGENCY , West Complex 3rd floor,06-14-11

MISC. NON CRIMINAL , 1215 Lee St,06-14-11

SUSPICIOUS CIRCUMSTANCES , UVA ER,06-14-11

LOST PROPERTY , 1335 Lee Street,06-15-11

PROPERTY DAMAGE , 575 Alderman Road,06-15-11

TRAFFIC ACCIDENT , 11th Street Parking Garage                 NO P I,06-15-11

LARCENY , Aquatic Fitness Center,06-15-11

TRAFFIC ACCIDENT , Bonneycastle Rd,06-16-11

BREAKING AND ENTERING , McCue Center,06-16-11

TRAFFIC ACCIDENT , HSC East Parking Garage,06-16-11

LARCENY THEFT FROM BUILDING , Hoxton Dorm,06-16-11

BREAKING AND ENTERING , Rice Hall,06-17-11

SUSPICIOUS CIRCUMSTANCES , UVA Hospital,06-17-11

DRUNK IN PUBLIC ,Hospital Drive,06-18-11

PROPERTY DAMAGE , 1215 Lee Street,06-18-11

STOLEN LICENSE PLATE , UVA Hospital,06-18-11

ASSIST CITIZEN- MEDICAL ,Practice Field,06-18-11

LIQUOR LAW VIOLATION , Amphitheater Way,06-19-11

SUSPICIOUS CIRUCMSTANCES , UVA Hospital,06-19-11

SUSPICIOUS CIRCUMSTANCES ,UVA Hospital,06-20-11

LARCENY , East Garage,06-20-11

LARCENY , UVA Hospital,06-20-11

TRESPASS,Womens Center,06-20-11

DISORDERLY CONDUCT ,UVA Hospital,06-21-11

ASSIST CITIZEN , West Main Street &amp; Jefferson Park Avenue,06-22-11

PROPERTY DAMAGE , Dunnington Dorm/Service Road,06-22-11

ASSIST AGENCY , 1215 Lee Street,06-22-11

BREAKING &amp; ENTERING , 1340 Jefferson Park Avenue,06-22-11

PROPERTY DAMAGE , 25 Hancock Drive,06-22-11

ASSIST AGENCY , UVA Hospital 6 East,06-22-11

ASSAULT , UVA Hospital,06-23-11

PROPERTY DAMAGE , Primary Care Loading Dock,06-23-11

FRAUD  , McKim Hall,06-23-11

TRAFFIC ACCIDENT , 1335 Lee Street,06-23-11

TRAFFIC ACCIDENT , 1210 Lee Street                   NO P I,06-23-11

GAS LEAK , 351 McCormick Road,06-23-11

DUI , 611 Madison Avenue,06-24-11

HIT &amp; RUN , 1015 Massie Road,06-24-11

VEHICLE ACCIDENT , Patterson Alley,06-24-11

PROPERTY DAMAGE , 1210 Lee Street,06-24-11

ASSIST AGENCY , UVA Hospital 6 East,06-24-11

DIP , UVA Hospital,06-24-11

DUI , 1335 Lee St.,06-25-11

PROPERTY DAMAGE , 11th Street Parking Garage,06-26-11

TRAFFIC ACCIDENT , Lee Street       NO PI,06-27-11

SIMPLE ASSAULT, Hospital Barringer Wing,06-27-11

FOUND PROPERTY ,Lee Street,06-27-11

FOUND PROPERTY, Varsity and Randall Hall area,06-28-11

TRAFFIC ACCIDENT , Pratt Drive        NO PI,06-28-11

DAMAGED PROPERTY , 1222 Jefferson Park Avenue,06-28-11

ANIMAL BITE , Cabell Drive / McCormick Rd area,06-28-11

TRAFFIC ACCIDENT , Massie Road         NO PI,06-28-11

LOST PROPERTY , Medical Center,06-28-11

DAILY REPORT #2011,180,06-28-11

TRAFFIC ACCIDENT ,Echols Lot        NO PI,06-29-11

ASSIST AGENCY, WARRANT UVA Hospital,06-29-11

DAILY REPORT #2011,181,06-29-11

SIMPLE ASSAULT , UVA Hospital,06-30-11

SUSPICIOUS CIRCUMSTANCES , 300 Crispell Drive,06-30-11

LARCENY , 160 McCormick Road,07-01-12

FOUND PROPERTY , 1826 University Avenue,07-01-12

VANDALISM , 11th Street Garage,07-01-12

SIMPLE ASSAULT , 1215 Lee Street,07-02-12

PROPERTY FOUND , 11th Street Parking Garage,07-02-12

STATE OWNED VEHICLE CRASH , 1200 Lee Street,07-02-12

DRUG/NARCOTIC VIOLATION , Alderman RD &amp; Twyman RD,07-02-12

DUI , Emmet St &amp; Massie Rd,07-03-12

LARCENY , 450 Whitehead Rd,07-03-12

VANDALISM , 248 McCormick Road,07-04-12

FOUND PROPERTY , 450 Whitehead Road,07-04-12

ASSIST AGENCY/WARRANT , 1215 Lee Street,07-04-12

PROPERTY DAMAGE , U-Hall East Parking Lot,07-04-12

HYDRALIC SPILL , 1215 Lee Street,07-04-12

UNLAWFUL FILMING , 203 Sprigg Lane,07-04-12

FIREWORKS , 1210 Lee Street,07-04-12

PROPERTY DAMAGE , 1217 Lee Street,07-05-12

DUI , Ivy Road &amp; Colonnade Drive,07-05-12

LARCENY , Newcomb Hall,07-06-12

LARCENY , Nameless Field,07-06-12

LOST PROPERTY , Aquatic Fitness Center,07-06-12

SUSPICIOUS CIRCUMSTANCES , Gooch Dorm,07-06-12

PROPERTY DAMAGE , 1210 Lee Street,07-06-12

SUSPICIOUS INCIDENT , 500 Monroe Lane,07-07-12

DRIVING UNDER INFLUENCE , 1600 JPA,/08/2012

DRUNK IN PUBLIC, 14th Street,07/08/12

TRAFFIC STOP , Colonnade Drive,07/08/12

ASSIST MEDICAL , 100 McCormick Rd,07/08/12

ASSIST MEDICAL , 1225 Lee St,07/08/12

Asist Agency , UVA Hospital,07/08/12

FRAUD , 1300 JPA,-09-2012

POSSESION OF CONTROL SUBSTANCE , JPA &amp; Emmett St.,07-10-12

LARCENY , JPJ Parking Garage,07-10-12

LARCENY , Reactor Building,07-10-12

PROPERTY DAMAGE , 794 Alderman Rd, 7-10-12

DUI , 2115 Hydraulic Rd,07-11-12

LARCENY FROM BUILDING , UVA Multi Story Office,07-11-12

PROPERTY FOUND , 1335 Lee St,07-11-12

TRESPASS , 21 Hospital Drive,07-11-12

FOUND PROPERTY , 500 Valley Road,07-12-12

LARCENY , Higher Grounds,07-12-12

VANDALISM , Parking and Transportation,07-12-12

B &amp; E , 1300 Jefferson Park Avenue,07-12-12

SUSPCIOUS CIRCUMSTANCES , 1215 Lee Street,07-12-12

ASSIST CITIZEN-MED , Garden at Pavilion I,07-13-12

B &amp; E , 295 Massie Road JPJ Arena,07-13-12

ASSIST CITIZEN , Crispell Drive &amp; Lee Street,07-13-12

ASSAULT SIMPLE , 1105 West Main Street,07-14-12

PROPERTY DAMAGE , Boyd Dorm,07-14-12

DRUNK IN PUBLIC , 1222 JPA,07-15-12

DOMESTIC DISTURBANCE , Mimosa Court,07-15-12

SEX OFFENSE - FORCIBLE FONDLING , UVA Hospital,07-15-12

TRAFFIC , 1210 Lee St. E Parking Garage  No PI,07-15-12

DRUNK IN PUBLIC , 1210 Lee Street,07-16-12

DUI , Emmet Street &amp; Massie Road,07-17-12

SUSPICIOUS CIRCUMSTANCES , 1340 Jefferson Park Avenue,07-17-12

LARCENY , 1215 Lee Street,07-17-12

LARCENY , 1826 University Avenue,07-17-12

DIP , 1215 Lee Street,07-17-12

FIRE ALARM , Physics Bldg.  Basement Electrical Room,07-17-12

SUSPICIOUS CIRCUMSTANCES , North Grounds,07-18-12

LOST PROPERTY , Carrs Hill Field,07-18-12

SIMPLE ASSAULT , 1300 Blk. of JPA,07-19-12

TRESPASS , 300 Massie Road,07-20-12

DUI , 400 Blk. of Lane RD,07-20-12

LARCENY FROM BUILDING , Campbell Hall,07-20-12

FOUND PROPERTY , Dunglison Dorm,07-20-12

SUSPICIOUS CIRCUMSTANCES , Bice House,07-21-12

LARCENY , 1221 Lee Street,07-21-12

VANDALISM , 1210 Lee Street,07-21-12

PROPERTY DAMAGE , 100 Newcomb Road,07-22-12

TRAFFIC ACCIDENT , University Avenue,07-23-12

VEHICLE ACCIDENT , Sprigg Lane,07-23-12

SIMPLE ASSAULT , UVA Hospital,07-23-12

FORCIBLE FONDLING , 1215 Lee Street,07-24-12

ANNOYING PHONE CALLS , 2304 Ivy Road,07-24-12

MOTOR VEHICLE THEFT , 1217 Lee Street,07-25-12

AUTOMOBILE ACCIDENT , 1210 Lee Street,07-25-12

SUPICIOUS CIRCUMSTANCES , West Complex Security Office,07-25-12

DIP , 1517 University Avenue,07-26-12

DIP , 1517 University Avenue,07-26-12

SUPICIOUS CIRCUMSTANCES , Multi Story Building,07-26-12

PROPERTY DAMAGE , 115 Ruppel Drive,07-26-12

EVIDENCE DESTRUCTION , 2304 Ivy Rd,07-27-12

DAMAGE OF PROPERTY , Rice Hall,07-27-12

LOST PROPERTY , Newcomb Hall,07-27-12

DRUNK IN PUBLIC , 1989 University Avenue,07-28-12

ASSIST CITIZEN , Brooks Hall,07-28-12

TRAFFIC ACCIDENT , 1210 Lee Street,07-28-12

DUI , Ivy Road &amp; Cameron Lane,07-29-12

PROPERTY DAMAGE , 485 McCormick Road,07-28-12

TRESPASS , The Park 668 Massie Rd,07-30-12

SUSPICOUS PERSON , 467 Lambeth Field,07-31-12

LARCENY FROM VEHICLE , South University Hall Parking Lot,07-31-12

VEHICLE ACCIDENT , Newcomb Drive,07-31-12

TRAFFIC ACCIDENT , 474 Faulkner Way,08-01-11

LARCENY , AFC,08-01-11

IDENTITY THEFT , UVA Hospital,08-01-11

TRAFFIC ACCIDENT , Pratt Dr.,08-01-11

TRAFFIC ACCIDENT , Newcomb Hall,08-01-11

DRUNK IN PUBLIC , 1215 Lee Street,08-02-11

ASSIST CITIZEN , 2304 Ivy Road,08-02-11

PROPERTY LOST ,Brooks Hall,08-02-11

PROPERTY DAMAGE , Hancock Drive,08-02-11

LARCENY FROM BUILDING , Dillard Dorm,08-02-11

PROPERTY FOUND , 1215 Lee Street,08-02-11

DRUNK IN PUBLIC , 1215 Lee Street,08-03-11

TRAFFIC ACCIDENT ,Lambeth Lane,08-03-11

BOMB THREAT , 1001 Emmet Street,08-03-11

ASSIST AGENCY/WARRANT , 115 Mimosa Dr.,08-03-11

SUSPICIOUS CIRCUMSTANCES , 265 Hereford Drive,08-04-11

VEHICLE ACCIDENT , 1015 Massie Road,08-04-11

TRAFFIC ACCIDENT , Pratt Drive,08-04-11

PROPERTY DAMAGE , South Parking Garage,08-04-11

VANDALISM , Dillard Dorm,08-04-11

PROPERTY DAMAGE , 130 Chemistry Drive,08-04-11

DUI , University Avenue &amp; McCormick Road,08-05-11

VANDALISM , East garage Level A,08-05-11

ASSIST CITIZEN , 400 Emmet Street South,08-05-11

ASSIST AGENCY , 2304 Ivy Road,08-05-11

DUI , Edgemont,08-05-11

SIMPLE ASSAULT , UVA Emergency Department,08-05-11

DAILY REPORT #2011,218,08-05-11

DUI , 216th 14th Street,08-07-11

TRESPASS , 1826 University Avenue,08-07-11

LARCENY FROM BUILDING , UVA Hospital,08-07-11

DISORDERLY CONDUCT , Elliewood Avenue,08-08-11

LARCENY , John Paul Jones Surface Lot,08-08-11

ASSIST CITIZEN , Booker House,08-08-11

LARCENY , D-2 parking lot,08-08-11

PROPERTY DAMAGE , East Parking Garage,08-08-11

LARCENY , South Lawn Cabell Hall,08-08-11

SUSPICIOUS CIRCUMTANCES , 2304 Ivy Road,08-08-11

SUSPICIOUS CIRCUMSTANCES , UVA Medical Center,08-09-11

FOUND PROPERTY , Humphreys Dorm,08-09-11

TRAFFIC ACCIDENT , Newcomb Road,08-09-11

FOUND PROPERTY , JAG School,08-08-11

SIMPLE ASSAULT , UVA Hospital,08-09-11

LOST PROPERTY , MR-6 Building,08-10-11

ASSIST AGENCY , UVA Hospital,08-11-11

PROPERTY DAMAGE , Facilities Management,08-11-11

LARCENY , UVA Hospital ER Waiting Room,08-12-11

MEDICAL ASSIST ," West Lawn, Room #47",08-12-11

LOST PROPERTY , UVA Facilities Management,08-12-11

PROPERTY DAMAGE ," Dell Pond, R-6 Parking Lot",08-12-11

ASSIST CITIZEN , 1605 Jefferson Park Avenue,08-13-11

LOST PROPERTY , UVA Hospital Security,08-13-11

SUSPICIOUS CIRCUMSTANCES , Hospital Drive @ Rotunda Alley,08-14-11

DUI , W Main Street &amp; 11th Street NW,08-14-11

MOTOR VEHICLE THEFT , Dillard Dorm,08-14-11

PROPERTY DAMAGE , UVA Hospital East Garage,08-14-11

PROPERTY DAMAGE , 2304 Ivy Road,08-14-11

ASSIST CITIZEN , 1215 Lee St. UVA Hospital,08-15-11

TRAFFIC ACCIDENT , Pratt Drive                                NO PI,08-15-11

PROPERTY DAMAGE , Leake Building Parking Lot,08-15-11

PROPERTY DAMAGE , 200 Sprigg Lane,08-15-11

ASSIST CITIZEN , 200 Rugby Road,08-16-11

OBSTRUCTION OF JUSTICE , Barracks Road Shopping Center,08-16-11

FOUND PROPERTY , Facilities Management,08-16-11

ASSIST AGENCY , Millmont St. &amp; Arlington Blvd.,08-17-11

LARCENY ,,08-17-11

NARCOTICS VIOLATION , University Ave.,08-17-11

DUI , Jefferson Park Ave &amp; Emmet St.,08-18-11

B &amp; E , McKim Hall,08-18-11

OBSCENE CALLS, Barringer Wing,08-18-11

HIT AND RUN , Crispell Drive,08-18-11

ASSIST AGENCY , 1215 Lee Street,08-18-11

ASSIST AGENCY , UVA Hospital,08-18-11

ASSIST CITIZEN/MEDICAL , SAB,08-19-11

PROPERTY DAMAGE , Jordan Hall,08-19-11

LOST PROPERTY, Rouss-Robertson Hall,08-19-11

DESTRUCTION OF PROPERTY, The Park/Massie Rd.,08-19-11

DUI , Culbreth Rd.,08-19-11

DRUG VIOLATION , Gilmer Hall,08-20-11

DRUNK IN PUBLIC , Gilmer Hall,08-20-11

DRUNK IN PUBLIC ," UVA ER, 1215 Lee Street",08-20-11

LIQUOR LAW VIOLATION , JPJ Arena,08-20-11

SIMPLE ASSAULT , 1517 University Avenue,08-21-11

DISORDERLY CONDUCT , University Avenue &amp; Elliewood Drive,08-21-11

ASSIST CITIZEN , 1417 University Avenue,08-21-11

FOUND PROPERTY , UVA Hospital ER,08-21-11

ASSIST CITIZEN , Kellogg Dorm,08-21-11

LOST PROPERTY , 1215 Lee Street,08-21-11

LOST PROPERTY , Old Cabell Hall,08-21-11

PROPERTY DAMAGE , Elson Student Health Center,08-22-11

TRAFFIC ACCIDENT , 409 McCormick Road,08-22-11

LARCENY , Lower Level Shelf Lot,08-22-11

PROPERTY LOST , Bonnycastle Drive,08-22-11

ASSIST CITIZEN , Paige Dorm,08-22-11

LOST PROPERTY , JPJ Arena,08-23-11

ANNOYING PHONE CALLS , 1101 Millmont St.,08-23-11

TRAFFIC ACCIDENT , Lambeth Field Parking Lot,08-23-11
